# vega universe v2 — built 2026-07-20
# migration from universe-v1: adds a `cluster` column (us_equity_beta |
# rates | commodities | crypto_beta) derived from the WI-084-parked
# risk.clusters RATES/COMMODITIES frozensets -- no membership changed,
# every other column is byte-identical to universe-v1.
# equities: S&P 500 + Nasdaq-100 (Wikipedia constituent snapshot, Yahoo symbol notation)
# etfs: curated liquid list
# filter (equity/etf): median 60-session dollar volume >= $20,000,000
# crypto: CoinGecko top-20 mcap, ex stable/wrapped, Binance USDT pair
symbol,asset_class,name,coingecko_id,binance_symbol,cluster
XLE,etf,Energy Select SPDR,,,us_equity_beta
XLF,etf,Financial Select SPDR,,,us_equity_beta
XLI,etf,Industrial Select SPDR,,,us_equity_beta
XLK,etf,Technology Select SPDR,,,us_equity_beta
XLP,etf,Consumer Staples SPDR,,,us_equity_beta
XLRE,etf,Real Estate Select SPDR,,,us_equity_beta
XLU,etf,Utilities Select SPDR,,,us_equity_beta
XLV,etf,Health Care Select SPDR,,,us_equity_beta
XLY,etf,Consumer Discretionary SPDR,,,us_equity_beta
XME,etf,SPDR S&P Metals & Mining,,,commodities
BTC,crypto,Bitcoin,bitcoin,BTCUSDT,crypto_beta
ETH,crypto,Ethereum,ethereum,ETHUSDT,crypto_beta
BNB,crypto,BNB,binancecoin,BNBUSDT,crypto_beta
XRP,crypto,XRP,ripple,XRPUSDT,crypto_beta
SOL,crypto,Solana,solana,SOLUSDT,crypto_beta
TRX,crypto,TRON,tron,TRXUSDT,crypto_beta
DOGE,crypto,Dogecoin,dogecoin,DOGEUSDT,crypto_beta
ZEC,crypto,Zcash,zcash,ZECUSDT,crypto_beta
ADA,crypto,Cardano,cardano,ADAUSDT,crypto_beta
XLM,crypto,Stellar,stellar,XLMUSDT,crypto_beta
LINK,crypto,Chainlink,chainlink,LINKUSDT,crypto_beta
BCH,crypto,Bitcoin Cash,bitcoin-cash,BCHUSDT,crypto_beta
GRAM,crypto,Gram (prev. Toncoin),the-open-network,GRAMUSDT,crypto_beta
LTC,crypto,Litecoin,litecoin,LTCUSDT,crypto_beta
HBAR,crypto,Hedera,hedera-hashgraph,HBARUSDT,crypto_beta
SUI,crypto,Sui,sui,SUIUSDT,crypto_beta
AVAX,crypto,Avalanche,avalanche-2,AVAXUSDT,crypto_beta
NEAR,crypto,NEAR Protocol,near,NEARUSDT,crypto_beta
SHIB,crypto,Shiba Inu,shiba-inu,SHIBUSDT,crypto_beta
XAUT,crypto,Tether Gold,tether-gold,XAUTUSDT,crypto_beta
